"customer_id","store_id","first_name","last_name","email","address_id","activebool","create_date","last_update","active","address_id","address","address2","district","city_id","postal_code","phone","last_update","city","country"
524,1,Jared,Ely,jared.ely@sakilacustomer.org,530,true,2006-02-14,2013-05-26 14:49:45.738,1,530,"1003 Qinhuangdao Street","",West Java,419,"25972","35533115997",2006-02-15 09:45:30.000,Purwakarta,Indonesia
1,1,Mary,Smith,mary.smith@sakilacustomer.org,5,true,2006-02-14,2013-05-26 14:49:45.738,1,5,"1913 Hanoi Way","",Nagasaki,463,"35200","28303384290",2006-02-15 09:45:30.000,Sasebo,Japan
2,1,Patricia,Johnson,patricia.johnson@sakilacustomer.org,6,true,2006-02-14,2013-05-26 14:49:45.738,1,6,"1121 Loja Avenue","",California,449,"17886","838635286649",2006-02-15 09:45:30.000,San Bernardino,United States
3,1,Linda,Williams,linda.williams@sakilacustomer.org,7,true,2006-02-14,2013-05-26 14:49:45.738,1,7,"692 Joliet Street","",Attika,38,"83579","448477190408",2006-02-15 09:45:30.000,Athenai,Greece
4,2,Barbara,Jones,barbara.jones@sakilacustomer.org,8,true,2006-02-14,2013-05-26 14:49:45.738,1,8,"1566 Inegl Manor","",Mandalay,349,"53561","705814003527",2006-02-15 09:45:30.000,Myingyan,Myanmar
5,1,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9,true,2006-02-14,2013-05-26 14:49:45.738,1,9,"53 Idfu Parkway","",Nantou,361,"42399","10655648674",2006-02-15 09:45:30.000,Nantou,Taiwan
6,2,Jennifer,Davis,jennifer.davis@sakilacustomer.org,10,true,2006-02-14,2013-05-26 14:49:45.738,1,10,"1795 Santiago de Compostela Way","",Texas,295,"18743","860452626434",2006-02-15 09:45:30.000,Laredo,United States
7,1,Maria,Miller,maria.miller@sakilacustomer.org,11,true,2006-02-14,2013-05-26 14:49:45.738,1,11,"900 Santiago de Compostela Parkway","",Central Serbia,280,"93896","716571220373",2006-02-15 09:45:30.000,Kragujevac,Yugoslavia
8,2,Susan,Wilson,susan.wilson@sakilacustomer.org,12,true,2006-02-14,2013-05-26 14:49:45.738,1,12,"478 Joliet Way","",Hamilton,200,"77948","657282285970",2006-02-15 09:45:30.000,Hamilton,New Zealand
9,2,Margaret,Moore,margaret.moore@sakilacustomer.org,13,true,2006-02-14,2013-05-26 14:49:45.738,1,13,"613 Korolev Drive","",Masqat,329,"45844","380657522649",2006-02-15 09:45:30.000,Masqat,Oman
10,1,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14,true,2006-02-14,2013-05-26 14:49:45.738,1,14,"1531 Sal Drive","",Esfahan,162,"53628","648856936185",2006-02-15 09:45:30.000,Esfahan,Iran
11,2,Lisa,Anderson,lisa.anderson@sakilacustomer.org,15,true,2006-02-14,2013-05-26 14:49:45.738,1,15,"1542 Tarlac Parkway","",Kanagawa,440,"1027","635297277345",2006-02-15 09:45:30.000,Sagamihara,Japan
12,1,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16,true,2006-02-14,2013-05-26 14:49:45.738,1,16,"808 Bhopal Manor","",Haryana,582,"10672","465887807014",2006-02-15 09:45:30.000,Yamuna Nagar,India
13,2,Karen,Jackson,karen.jackson@sakilacustomer.org,17,true,2006-02-14,2013-05-26 14:49:45.738,1,17,"270 Amroha Parkway","",Osmaniye,384,"29610","695479687538",2006-02-15 09:45:30.000,Osmaniye,Turkey
14,2,Betty,White,betty.white@sakilacustomer.org,18,true,2006-02-14,2013-05-26 14:49:45.738,1,18,"770 Bydgoszcz Avenue","",California,120,"16266","517338314235",2006-02-15 09:45:30.000,Citrus Heights,United States
15,1,Helen,Harris,helen.harris@sakilacustomer.org,19,true,2006-02-14,2013-05-26 14:49:45.738,1,19,"419 Iligan Lane","",Madhya Pradesh,76,"72878","990911107354",2006-02-15 09:45:30.000,Bhopal,India
16,2,Sandra,Martin,sandra.martin@sakilacustomer.org,20,true,2006-02-14,2013-05-26 14:49:45.738,0,20,"360 Toulouse Parkway","",England,495,"54308","949312333307",2006-02-15 09:45:30.000,Southend-on-Sea,United Kingdom
17,1,Donna,Thompson,donna.thompson@sakilacustomer.org,21,true,2006-02-14,2013-05-26 14:49:45.738,1,21,"270 Toulon Boulevard","",Kalmykia,156,"81766","407752414682",2006-02-15 09:45:30.000,Elista,Russian Federation
18,2,Carol,Garcia,carol.garcia@sakilacustomer.org,22,true,2006-02-14,2013-05-26 14:49:45.738,1,22,"320 Brest Avenue","",Kaduna,252,"43331","747791594069",2006-02-15 09:45:30.000,Kaduna,Nigeria
19,1,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23,true,2006-02-14,2013-05-26 14:49:45.738,1,23,"1417 Lancaster Avenue","",Northern Cape,267,"72192","272572357893",2006-02-15 09:45:30.000,Kimberley,South Africa
20,2,Sharon,Robinson,sharon.robinson@sakilacustomer.org,24,true,2006-02-14,2013-05-26 14:49:45.738,1,24,"1688 Okara Way","",Nothwest Border Prov,327,"21954","144453869132",2006-02-15 09:45:30.000,Mardan,Pakistan
21,1,Michelle,Clark,michelle.clark@sakilacustomer.org,25,true,2006-02-14,2013-05-26 14:49:45.738,1,25,"262 A Corua (La Corua) Parkway","",Dhaka,525,"34418","892775750063",2006-02-15 09:45:30.000,Tangail,Bangladesh
22,1,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26,true,2006-02-14,2013-05-26 14:49:45.738,1,26,"28 Charlotte Amalie Street","",Rabat-Sal-Zammour-Z,443,"37551","161968374323",2006-02-15 09:45:30.000,Sal,Morocco
23,2,Sarah,Lewis,sarah.lewis@sakilacustomer.org,27,true,2006-02-14,2013-05-26 14:49:45.738,1,27,"1780 Hino Boulevard","",Liepaja,303,"7716","902731229323",2006-02-15 09:45:30.000,Liepaja,Latvia
24,2,Kimberly,Lee,kimberly.lee@sakilacustomer.org,28,true,2006-02-14,2013-05-26 14:49:45.738,1,28,"96 Tafuna Way","",Crdoba,128,"99865","934730187245",2006-02-15 09:45:30.000,Crdoba,Argentina
25,1,Deborah,Walker,deborah.walker@sakilacustomer.org,29,true,2006-02-14,2013-05-26 14:49:45.738,1,29,"934 San Felipe de Puerto Plata Street","",Sind,472,"99780","196495945706",2006-02-15 09:45:30.000,Shikarpur,Pakistan
26,2,Jessica,Hall,jessica.hall@sakilacustomer.org,30,true,2006-02-14,2013-05-26 14:49:45.738,1,30,"18 Duisburg Boulevard","","",121,"58327","998009777982",2006-02-15 09:45:30.000,Citt del Vaticano,Holy See (Vatican City State)
27,2,Shirley,Allen,shirley.allen@sakilacustomer.org,31,true,2006-02-14,2013-05-26 14:49:45.738,1,31,"217 Botshabelo Place","",Southern Mindanao,138,"49521","665356572025",2006-02-15 09:45:30.000,Davao,Philippines
28,1,Cynthia,Young,cynthia.young@sakilacustomer.org,32,true,2006-02-14,2013-05-26 14:49:45.738,1,32,"1425 Shikarpur Manor","",Bihar,346,"65599","678220867005",2006-02-15 09:45:30.000,Munger (Monghyr),India
29,2,Angela,Hernandez,angela.hernandez@sakilacustomer.org,33,true,2006-02-14,2013-05-26 14:49:45.738,1,33,"786 Aurora Avenue","",Yamaguchi,474,"65750","18461860151",2006-02-15 09:45:30.000,Shimonoseki,Japan
30,1,Melissa,King,melissa.king@sakilacustomer.org,34,true,2006-02-14,2013-05-26 14:49:45.738,1,34,"1668 Anpolis Street","",Taipei,316,"50199","525255540978",2006-02-15 09:45:30.000,Lungtan,Taiwan
31,2,Brenda,Wright,brenda.wright@sakilacustomer.org,35,true,2006-02-14,2013-05-26 14:49:45.738,1,35,"33 Gorontalo Way","",West Bengali,257,"30348","745994947458",2006-02-15 09:45:30.000,Kamarhati,India
32,1,Amy,Lopez,amy.lopez@sakilacustomer.org,36,true,2006-02-14,2013-05-26 14:49:45.738,1,36,"176 Mandaluyong Place","",Uttar Pradesh,239,"65213","627705991774",2006-02-15 09:45:30.000,Jhansi,India
33,2,Anna,Hill,anna.hill@sakilacustomer.org,37,true,2006-02-14,2013-05-26 14:49:45.738,1,37,"127 Purnea (Purnia) Manor","",Piemonte,17,"79388","911872220378",2006-02-15 09:45:30.000,Alessandria,Italy
34,2,Rebecca,Scott,rebecca.scott@sakilacustomer.org,38,true,2006-02-14,2013-05-26 14:49:45.738,1,38,"61 Tama Street","",Okayama,284,"94065","708403338270",2006-02-15 09:45:30.000,Kurashiki,Japan
35,2,Virginia,Green,virginia.green@sakilacustomer.org,39,true,2006-02-14,2013-05-26 14:49:45.738,1,39,"391 Callao Drive","",Midi-Pyrnes,544,"34021","440512153169",2006-02-15 09:45:30.000,Toulouse,France
36,2,Kathleen,Adams,kathleen.adams@sakilacustomer.org,40,true,2006-02-14,2013-05-26 14:49:45.738,1,40,"334 Munger (Monghyr) Lane","",Markazi,31,"38145","481183273622",2006-02-15 09:45:30.000,Arak,Iran
37,1,Pamela,Baker,pamela.baker@sakilacustomer.org,41,true,2006-02-14,2013-05-26 14:49:45.738,1,41,"1440 Fukuyama Loop","",Henan,362,"47929","912257250465",2006-02-15 09:45:30.000,Nanyang,China
38,1,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,42,true,2006-02-14,2013-05-26 14:49:45.738,1,42,"269 Cam Ranh Parkway","",Chisinau,115,"34689","489783829737",2006-02-15 09:45:30.000,Chisinau,Moldova
39,1,Debra,Nelson,debra.nelson@sakilacustomer.org,43,true,2006-02-14,2013-05-26 14:49:45.738,1,43,"306 Antofagasta Place","",Esprito Santo,569,"3989","378318851631",2006-02-15 09:45:30.000,Vila Velha,Brazil
40,2,Amanda,Carter,amanda.carter@sakilacustomer.org,44,true,2006-02-14,2013-05-26 14:49:45.738,1,44,"671 Graz Street","",Oriental,353,"94399","680768868518",2006-02-15 09:45:30.000,Nador,Morocco
41,1,Stephanie,Mitchell,stephanie.mitchell@sakilacustomer.org,45,true,2006-02-14,2013-05-26 14:49:45.738,1,45,"42 Brindisi Place","",Yerevan,586,"16744","42384721397",2006-02-15 09:45:30.000,Yerevan,Armenia
42,2,Carolyn,Perez,carolyn.perez@sakilacustomer.org,46,true,2006-02-14,2013-05-26 14:49:45.738,1,46,"1632 Bislig Avenue","",Nonthaburi,394,"61117","471675840679",2006-02-15 09:45:30.000,Pak Kret,Thailand
43,2,Christine,Roberts,christine.roberts@sakilacustomer.org,47,true,2006-02-14,2013-05-26 14:49:45.738,1,47,"1447 Imus Way","",Tahiti,167,"48942","539758313890",2006-02-15 09:45:30.000,Faaa,French Polynesia
44,1,Marie,Turner,marie.turner@sakilacustomer.org,48,true,2006-02-14,2013-05-26 14:49:45.738,1,48,"1998 Halifax Drive","",Lipetsk,308,"76022","177727722820",2006-02-15 09:45:30.000,Lipetsk,Russian Federation
45,1,Janet,Phillips,janet.phillips@sakilacustomer.org,49,true,2006-02-14,2013-05-26 14:49:45.738,1,49,"1718 Valencia Street","",Antofagasta,27,"37359","675292816413",2006-02-15 09:45:30.000,Antofagasta,Chile
46,2,Catherine,Campbell,catherine.campbell@sakilacustomer.org,50,true,2006-02-14,2013-05-26 14:49:45.738,1,50,"46 Pjatigorsk Lane","",Moscow (City),343,"23616","262076994845",2006-02-15 09:45:30.000,Moscow,Russian Federation
47,1,Frances,Parker,frances.parker@sakilacustomer.org,51,true,2006-02-14,2013-05-26 14:49:45.738,1,51,"686 Garland Manor","",Cear,247,"52535","69493378813",2006-02-15 09:45:30.000,Juazeiro do Norte,Brazil
48,1,Ann,Evans,ann.evans@sakilacustomer.org,52,true,2006-02-14,2013-05-26 14:49:45.738,1,52,"909 Garland Manor","",Tatarstan,367,"69367","705800322606",2006-02-15 09:45:30.000,Niznekamsk,Russian Federation
49,2,Joyce,Edwards,joyce.edwards@sakilacustomer.org,53,true,2006-02-14,2013-05-26 14:49:45.738,1,53,"725 Isesaki Place","",Mekka,237,"74428","876295323994",2006-02-15 09:45:30.000,Jedda,Saudi Arabia
50,1,Diane,Collins,diane.collins@sakilacustomer.org,54,true,2006-02-14,2013-05-26 14:49:45.738,1,54,"115 Hidalgo Parkway","",Khartum,379,"80168","307703950263",2006-02-15 09:45:30.000,Omdurman,Sudan
51,1,Alice,Stewart,alice.stewart@sakilacustomer.org,55,true,2006-02-14,2013-05-26 14:49:45.738,1,55,"1135 Izumisano Parkway","",California,171,"48150","171822533480",2006-02-15 09:45:30.000,Fontana,United States
52,1,Julie,Sanchez,julie.sanchez@sakilacustomer.org,56,true,2006-02-14,2013-05-26 14:49:45.738,1,56,"939 Probolinggo Loop","",Galicia,1,"4166","680428310138",2006-02-15 09:45:30.000,A Corua (La Corua),Spain
53,1,Heather,Morris,heather.morris@sakilacustomer.org,57,true,2006-02-14,2013-05-26 14:49:45.738,1,57,"17 Kabul Boulevard","",Chiba,355,"38594","697760867968",2006-02-15 09:45:30.000,Nagareyama,Japan
54,1,Teresa,Rogers,teresa.rogers@sakilacustomer.org,58,true,2006-02-14,2013-05-26 14:49:45.738,1,58,"1964 Allappuzha (Alleppey) Street","",Yamaguchi,227,"48980","920811325222",2006-02-15 09:45:30.000,Iwakuni,Japan
55,2,Doris,Reed,doris.reed@sakilacustomer.org,59,true,2006-02-14,2013-05-26 14:49:45.738,1,59,"1697 Kowloon and New Kowloon Loop","",Moskova,49,"57807","499352017190",2006-02-15 09:45:30.000,Balaiha,Russian Federation
56,1,Gloria,Cook,gloria.cook@sakilacustomer.org,60,true,2006-02-14,2013-05-26 14:49:45.738,1,60,"1668 Saint Louis Place","",Tahiti,397,"39072","347487831378",2006-02-15 09:45:30.000,Papeete,French Polynesia
57,2,Evelyn,Morgan,evelyn.morgan@sakilacustomer.org,61,true,2006-02-14,2013-05-26 14:49:45.738,1,61,"943 Tokat Street","",Vaduz,560,"45428","889318963672",2006-02-15 09:45:30.000,Vaduz,Liechtenstein
58,1,Jean,Bell,jean.bell@sakilacustomer.org,62,true,2006-02-14,2013-05-26 14:49:45.738,1,62,"1114 Liepaja Street","",Sarawak,282,"69226","212869228936",2006-02-15 09:45:30.000,Kuching,Malaysia
59,1,Cheryl,Murphy,cheryl.murphy@sakilacustomer.org,63,true,2006-02-14,2013-05-26 14:49:45.738,1,63,"1213 Ranchi Parkway","",Karnataka,350,"94352","800024380485",2006-02-15 09:45:30.000,Mysore,India
60,1,Mildred,Bailey,mildred.bailey@sakilacustomer.org,64,true,2006-02-14,2013-05-26 14:49:45.738,1,64,"81 Hodeida Way","",Rajasthan,231,"55561","250767749542",2006-02-15 09:45:30.000,Jaipur,India
61,2,Katherine,Rivera,katherine.rivera@sakilacustomer.org,65,true,2006-02-14,2013-05-26 14:49:45.738,1,65,"915 Ponce Place","",Basel-Stadt,56,"83980","1395251317",2006-02-15 09:45:30.000,Basel,Switzerland
62,1,Joan,Cooper,joan.cooper@sakilacustomer.org,66,true,2006-02-14,2013-05-26 14:49:45.738,1,66,"1717 Guadalajara Lane","",Missouri,441,"85505","914090181665",2006-02-15 09:45:30.000,Saint Louis,United States
63,1,Ashley,Richardson,ashley.richardson@sakilacustomer.org,67,true,2006-02-14,2013-05-26 14:49:45.738,1,67,"1214 Hanoi Way","",Nebraska,306,"67055","491001136577",2006-02-15 09:45:30.000,Lincoln,United States
64,2,Judith,Cox,judith.cox@sakilacustomer.org,68,true,2006-02-14,2013-05-26 14:49:45.738,0,68,"1966 Amroha Avenue","",Sichuan,139,"70385","333489324603",2006-02-15 09:45:30.000,Daxian,China
65,2,Rose,Howard,rose.howard@sakilacustomer.org,69,true,2006-02-14,2013-05-26 14:49:45.738,1,69,"698 Otsu Street","",Cayenne,105,"71110","409983924481",2006-02-15 09:45:30.000,Cayenne,French Guiana
66,2,Janice,Ward,janice.ward@sakilacustomer.org,70,true,2006-02-14,2013-05-26 14:49:45.738,1,70,"1150 Kimchon Manor","",Skne ln,321,"96109","663449333709",2006-02-15 09:45:30.000,Malm,Sweden
